Sort	Isolate Sort	Realm	Subrealm	Kingdom	Subkingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	Exemplar or additional isolate	Virus name(s)	Virus name abbreviation(s)	Virus isolate designation	Virus GENBANK accession	Virus REFSEQ accession	Genome coverage	Genome composition	Host source	File_identifier
3366	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Korravirus		Korravirus mamapearl	E	Arthrobacter phage MamaPearl			MT498045	NC_054425	Complete genome	dsDNA	bacteria	Korravirus_mamapearl.3366.MT498045
3367	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Korravirus		Korravirus nubia	E	Arthrobacter phage Nubia			MF140424	NC_054426	Complete genome	dsDNA	bacteria	Korravirus_nubia.3367.MF140424
3368	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Korravirus		Korravirus oxynfrius	E	Arthrobacter phage Oxynfrius			KX688102	NC_054427	Complete genome	dsDNA	bacteria	Korravirus_oxynfrius.3368.KX688102
3369	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Korravirus		Korravirus preamble	E	Arthrobacter phage Preamble			KU160659	NC_041944	Complete genome	dsDNA	bacteria	Korravirus_preamble.3369.KU160659
3370	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Korravirus		Korravirus pumancara	E	Arthrobacter phage Pumancara			KU160661	NC_041945	Complete genome	dsDNA	bacteria	Korravirus_pumancara.3370.KU160661
3371	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Korravirus		Korravirus sergei	E	Arthrobacter phage Sergei			MH450131	NC_054428	Complete genome	dsDNA	bacteria	Korravirus_sergei.3371.MH450131
3372	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Korravirus		Korravirus urla	E	Arthrobacter phage Urla			MG198779	NC_054429	Complete genome	dsDNA	bacteria	Korravirus_urla.3372.MG198779
3373	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Korravirus		Korravirus wawa	E	Arthrobacter phage Wawa			MK279892	NC_054430	Complete genome	dsDNA	bacteria	Korravirus_wawa.3373.MK279892
3374	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Korravirus		Korravirus wayne	E	Arthrobacter phage Wayne			KU160672	NC_041946	Complete genome	dsDNA	bacteria	Korravirus_wayne.3374.KU160672
3375	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Kostyavirus		Kostyavirus bask21	E	Mycobacterium phage Bask21			JF937091	NC_041846	Complete genome	dsDNA	bacteria	Kostyavirus_bask21.3375.JF937091
